"""ID""","""名称""","""描述""","""GirlInfo""","""GirlEquip""","""GirlLevel""","""GuestInfo"""
1.1.1,,,138,,1,1.1.1
1.1.2,,,166,,1,1.1.2
1.1.3,,,169,,1,1.1.3
1.1.4,,,159,,1,1.1.4
1.1.5,,,145,,1,1.1.5
1.1.6,,,158,,1,1.1.6
1.2.1,,,136,,1,1.2.1
1.2.2,,,114,,1,1.2.2
1.2.3,,,137,,1,1.2.3
1.2.4,,,167,,1,1.2.4
1.2.5,,,106,,1,1.2.5
1.2.6,,,81,,2,1.2.6
1.3.1,,,150,,1,1.3.1
1.3.2,,,118,,1,1.3.2
1.3.3,,,122,,1,1.3.3
1.3.4,,,133,,1,1.3.4
1.3.5,,,89,,2,1.3.5
1.3.6,,,83,,2,1.3.6
1.4.1,,,136,,1,1.4.1
1.4.2,,,111,,1,1.4.2
1.4.3,,,129,,1,1.4.3
1.4.4,,,91,,2,1.4.4
1.4.5,,,77,,2,1.4.5
1.4.6,,,84,,2,1.4.6
1.5.1,,,136,,1,1.5.1
1.5.2,,,155,,1,1.5.2
1.5.3,,,105,,2,1.5.3
1.5.4,,,105,,2,1.5.4
1.5.5,,,100,,2,1.5.5
1.5.6,,,37,,3,1.5.6
1.6.1,,,158,,1,1.6.1
1.6.2,,,163,,1,1.6.2
1.6.3,,,88,,2,1.6.3
1.6.4,,,85,,2,1.6.4
1.6.5,,,92,,2,1.6.5
1.6.6,,,104,,2,1.6.6
1.7.1,,,121,,1,1.7.1
1.7.2,,,87,,2,1.7.2
1.7.3,,,77,,2,1.7.3
1.7.4,,,88,,2,1.7.4
1.7.5,,,95,,2,1.7.5
1.7.6,,,71,,2,1.7.6
1.8.1,,,150,,1,1.8.1
1.8.2,,,73,,2,1.8.2
1.8.3,,,75,,2,1.8.3
1.8.4,,,78,,2,1.8.4
1.8.5,,,79,,2,1.8.5
1.8.6,,,45,,3,1.8.6
1.9.1,,,148,,1,1.9.1
1.9.2,,,96,,2,1.9.2
1.9.3,,,100,,2,1.9.3
1.9.4,,,84,,2,1.9.4
1.9.5,,,63,,3,1.9.5
1.9.6,,,54,,3,1.9.6
2.1.1,,,121,,1,2.1.1
2.1.2,,,139,,1,2.1.2
2.1.3,,,166,,1,2.1.3
2.1.4,,,119,,1,2.1.4
2.1.5,,,132,,1,2.1.5
2.1.6,,,166,,1,2.1.6
2.2.1,,,137,,1,2.2.1
2.2.2,,,150,,1,2.2.2
2.2.3,,,124,,1,2.2.3
2.2.4,,,115,,1,2.2.4
2.2.5,,,167,,1,2.2.5
2.2.6,,,89,,2,2.2.6
2.3.1,,,122,,1,2.3.1
2.3.2,,,121,,1,2.3.2
2.3.3,,,160,,1,2.3.3
2.3.4,,,111,,1,2.3.4
2.3.5,,,86,,2,2.3.5
2.3.6,,,87,,2,2.3.6
2.4.1,,,127,,1,2.4.1
2.4.2,,,133,,1,2.4.2
2.4.3,,,130,,1,2.4.3
2.4.4,,,74,,2,2.4.4
2.4.5,,,82,,2,2.4.5
2.4.6,,,71,,2,2.4.6
2.5.1,,,156,,1,2.5.1
2.5.2,,,142,,1,2.5.2
2.5.3,,,87,,2,2.5.3
2.5.4,,,93,,2,2.5.4
2.5.5,,,93,,2,2.5.5
2.5.6,,,50,,3,2.5.6
2.6.1,,,119,,1,2.6.1
2.6.2,,,128,,1,2.6.2
2.6.3,,,93,,2,2.6.3
2.6.4,,,81,,2,2.6.4
2.6.5,,,96,,2,2.6.5
2.6.6,,,87,,2,2.6.6
2.7.1,,,130,,1,2.7.1
2.7.2,,,85,,2,2.7.2
2.7.3,,,72,,2,2.7.3
2.7.4,,,74,,2,2.7.4
2.7.5,,,100,,2,2.7.5
2.7.6,,,84,,2,2.7.6
2.8.1,,,132,,1,2.8.1
2.8.2,,,97,,2,2.8.2
2.8.3,,,92,,2,2.8.3
2.8.4,,,77,,2,2.8.4
2.8.5,,,74,,2,2.8.5
2.8.6,,,45,,3,2.8.6
2.9.1,,,133,,1,2.9.1
2.9.2,,,93,,2,2.9.2
2.9.3,,,92,,2,2.9.3
2.9.4,,,104,,2,2.9.4
2.9.5,,,41,,3,2.9.5
2.9.6,,,32,,3,2.9.6
3.1.1,,,93,,2,3.1.1
3.1.2,,,104,,2,3.1.2
3.1.3,,,86,,2,3.1.3
3.1.4,,,77,,2,3.1.4
3.1.5,,,84,,2,3.1.5
3.1.6,,,76,,2,3.1.6
3.2.1,,,84,,2,3.2.1
3.2.2,,,105,,2,3.2.2
3.2.3,,,105,,2,3.2.3
3.2.4,,,76,,2,3.2.4
3.2.5,,,88,,2,3.2.5
3.2.6,,,58,,3,3.2.6
3.3.1,,,102,,2,3.3.1
3.3.2,,,100,,2,3.3.2
3.3.3,,,94,,2,3.3.3
3.3.4,,,104,,2,3.3.4
3.3.5,,,47,,3,3.3.5
3.3.6,,,57,,3,3.3.6
3.4.1,,,81,,2,3.4.1
3.4.2,,,75,,2,3.4.2
3.4.3,,,105,,2,3.4.3
3.4.4,,,54,,3,3.4.4
3.4.5,,,31,,3,3.4.5
3.4.6,,,38,,3,3.4.6
3.5.1,,,74,,2,3.5.1
3.5.2,,,84,,2,3.5.2
3.5.3,,,44,,3,3.5.3
3.5.4,,,55,,3,3.5.4
3.5.5,,,58,,3,3.5.5
3.5.6,,,70,1,3,3.5.6
3.6.1,,,74,,2,3.6.1
3.6.2,,,75,,2,3.6.2
3.6.3,,,30,,3,3.6.3
3.6.4,,,47,,3,3.6.4
3.6.5,,,30,,3,3.6.5
3.6.6,,,52,,3,3.6.6
3.7.1,,,96,,2,3.7.1
3.7.2,,,47,,3,3.7.2
3.7.3,,,50,,3,3.7.3
3.7.4,,,64,,3,3.7.4
3.7.5,,,59,,3,3.7.5
3.7.6,,,53,,3,3.7.6
3.8.1,,,89,,2,3.8.1
3.8.2,,,28,,3,3.8.2
3.8.3,,,48,,3,3.8.3
3.8.4,,,37,,3,3.8.4
3.8.5,,,65,,3,3.8.5
3.8.6,,,57,1,3,3.8.6
3.9.1,,,73,,2,3.9.1
3.9.2,,,52,,3,3.9.2
3.9.3,,,68,,3,3.9.3
3.9.4,,,37,,3,3.9.4
3.9.5,,,59,1,3,3.9.5
3.9.6,,,44,1,3,3.9.6
4.1.1,,,99,,2,4.1.1
4.1.2,,,75,,2,4.1.2
4.1.3,,,99,,2,4.1.3
4.1.4,,,99,,2,4.1.4
4.1.5,,,76,,2,4.1.5
4.1.6,,,77,,2,4.1.6
4.2.1,,,98,,2,4.2.1
4.2.2,,,102,,2,4.2.2
4.2.3,,,85,,2,4.2.3
4.2.4,,,94,,2,4.2.4
4.2.5,,,98,,2,4.2.5
4.2.6,,,63,,3,4.2.6
4.3.1,,,88,,2,4.3.1
4.3.2,,,81,,2,4.3.2
4.3.3,,,92,,2,4.3.3
4.3.4,,,97,,2,4.3.4
4.3.5,,,55,,3,4.3.5
4.3.6,,,26,,3,4.3.6
4.4.1,,,96,,2,4.4.1
4.4.2,,,88,,2,4.4.2
4.4.3,,,86,,2,4.4.3
4.4.4,,,55,,3,4.4.4
4.4.5,,,29,,3,4.4.5
4.4.6,,,26,,3,4.4.6
4.5.1,,,90,,2,4.5.1
4.5.2,,,87,,2,4.5.2
4.5.3,,,35,,3,4.5.3
4.5.4,,,26,,3,4.5.4
4.5.5,,,49,,3,4.5.5
4.5.6,,,48,1,3,4.5.6
4.6.1,,,74,,2,4.6.1
4.6.2,,,83,,2,4.6.2
4.6.3,,,37,,3,4.6.3
4.6.4,,,25,,3,4.6.4
4.6.5,,,32,,3,4.6.5
4.6.6,,,41,,3,4.6.6
4.7.1,,,103,,2,4.7.1
4.7.2,,,25,,3,4.7.2
4.7.3,,,57,,3,4.7.3
4.7.4,,,29,,3,4.7.4
4.7.5,,,58,,3,4.7.5
4.7.6,,,40,,3,4.7.6
4.8.1,,,101,,2,4.8.1
4.8.2,,,33,,3,4.8.2
4.8.3,,,26,,3,4.8.3
4.8.4,,,59,,3,4.8.4
4.8.5,,,42,,3,4.8.5
4.8.6,,,65,1,3,4.8.6
4.9.1,,,84,,2,4.9.1
4.9.2,,,57,,3,4.9.2
4.9.3,,,41,,3,4.9.3
4.9.4,,,29,,3,4.9.4
4.9.5,,,29,1,3,4.9.5
4.9.6,,,58,1,3,4.9.6
5.1.1,,,37,,3,5.1.1
5.1.2,,,65,,3,5.1.2
5.1.3,,,67,,3,5.1.3
5.1.4,,,27,,3,5.1.4
5.1.5,,,44,,3,5.1.5
5.1.6,,,45,,3,5.1.6
5.2.1,,,59,,3,5.2.1
5.2.2,,,44,,3,5.2.2
5.2.3,,,38,,3,5.2.3
5.2.4,,,32,,3,5.2.4
5.2.5,,,54,,3,5.2.5
5.2.6,,,28,1,3,5.2.6
5.3.1,,,47,,3,5.3.1
5.3.2,,,32,,3,5.3.2
5.3.3,,,70,,3,5.3.3
5.3.4,,,68,,3,5.3.4
5.3.5,,,51,1,3,5.3.5
5.3.6,,,57,1,3,5.3.6
5.4.1,,,57,,3,5.4.1
5.4.2,,,50,,3,5.4.2
5.4.3,,,31,,3,5.4.3
5.4.4,,,28,1,3,5.4.4
5.4.5,,,62,1,3,5.4.5
5.4.6,,,49,1,3,5.4.6
5.5.1,,,62,,3,5.5.1
5.5.2,,,62,,3,5.5.2
5.5.3,,,33,1,3,5.5.3
5.5.4,,,51,1,3,5.5.4
5.5.5,,,30,1,3,5.5.5
5.5.6,,,19,,4,5.5.6
5.6.1,,,48,,3,5.6.1
5.6.2,,,46,,3,5.6.2
5.6.3,,,29,1,3,5.6.3
5.6.4,,,66,1,3,5.6.4
5.6.5,,,47,1,3,5.6.5
5.6.6,,,67,1,3,5.6.6
5.7.1,,,49,,3,5.7.1
5.7.2,,,26,1,3,5.7.2
5.7.3,,,36,1,3,5.7.3
5.7.4,,,48,1,3,5.7.4
5.7.5,,,64,1,3,5.7.5
5.7.6,,,37,1,3,5.7.6
5.8.1,,,41,,3,5.8.1
5.8.2,,,50,1,3,5.8.2
5.8.3,,,59,1,3,5.8.3
5.8.4,,,63,1,3,5.8.4
5.8.5,,,65,1,3,5.8.5
5.8.6,,,18,,4,5.8.6
5.9.1,,,31,,3,5.9.1
5.9.2,,,58,1,3,5.9.2
5.9.3,,,50,1,3,5.9.3
5.9.4,,,54,1,3,5.9.4
5.9.5,,,17,,4,5.9.5
5.9.6,,,21,,4,5.9.6
6.1.1,,,52,,3,6.1.1
6.1.2,,,63,,3,6.1.2
6.1.3,,,56,,3,6.1.3
6.1.4,,,54,,3,6.1.4
6.1.5,,,62,,3,6.1.5
6.1.6,,,53,,3,6.1.6
6.2.1,,,43,,3,6.2.1
6.2.2,,,67,,3,6.2.2
6.2.3,,,56,,3,6.2.3
6.2.4,,,29,,3,6.2.4
6.2.5,,,64,,3,6.2.5
6.2.6,,,27,1,3,6.2.6
6.3.1,,,67,,3,6.3.1
6.3.2,,,31,,3,6.3.2
6.3.3,,,49,,3,6.3.3
6.3.4,,,28,,3,6.3.4
6.3.5,,,45,1,3,6.3.5
6.3.6,,,26,1,3,6.3.6
6.4.1,,,38,,3,6.4.1
6.4.2,,,63,,3,6.4.2
6.4.3,,,57,,3,6.4.3
6.4.4,,,27,1,3,6.4.4
6.4.5,,,27,1,3,6.4.5
6.4.6,,,32,1,3,6.4.6
6.5.1,,,28,,3,6.5.1
6.5.2,,,68,,3,6.5.2
6.5.3,,,30,1,3,6.5.3
6.5.4,,,63,1,3,6.5.4
6.5.5,,,45,1,3,6.5.5
6.5.6,,,14,,4,6.5.6
6.6.1,,,31,,3,6.6.1
6.6.2,,,55,,3,6.6.2
6.6.3,,,39,1,3,6.6.3
6.6.4,,,57,1,3,6.6.4
6.6.5,,,28,1,3,6.6.5
6.6.6,,,67,1,3,6.6.6
6.7.1,,,55,,3,6.7.1
6.7.2,,,45,1,3,6.7.2
6.7.3,,,50,1,3,6.7.3
6.7.4,,,47,1,3,6.7.4
6.7.5,,,57,1,3,6.7.5
6.7.6,,,66,1,3,6.7.6
6.8.1,,,42,,3,6.8.1
6.8.2,,,66,1,3,6.8.2
6.8.3,,,48,1,3,6.8.3
6.8.4,,,54,1,3,6.8.4
6.8.5,,,30,1,3,6.8.5
6.8.6,,,9,,4,6.8.6
6.9.1,,,58,,3,6.9.1
6.9.2,,,32,1,3,6.9.2
6.9.3,,,67,1,3,6.9.3
6.9.4,,,44,1,3,6.9.4
6.9.5,,,14,,4,6.9.5
6.9.6,,,14,,4,6.9.6
7.1.1,,,64,1,3,7.1.1
7.1.2,,,50,1,3,7.1.2
7.1.3,,,67,1,3,7.1.3
7.1.4,,,58,1,3,7.1.4
7.1.5,,,52,1,3,7.1.5
7.1.6,,,65,1,3,7.1.6
7.2.1,,,66,1,3,7.2.1
7.2.2,,,40,1,3,7.2.2
7.2.3,,,26,1,3,7.2.3
7.2.4,,,62,1,3,7.2.4
7.2.5,,,54,1,3,7.2.5
7.2.6,,,12,,4,7.2.6
7.3.1,,,70,1,3,7.3.1
7.3.2,,,32,1,3,7.3.2
7.3.3,,,40,1,3,7.3.3
7.3.4,,,42,1,3,7.3.4
7.3.5,,,18,,4,7.3.5
7.3.6,,,16,,4,7.3.6
7.4.1,,,35,1,3,7.4.1
7.4.2,,,36,1,3,7.4.2
7.4.3,,,27,1,3,7.4.3
7.4.4,,,10,,4,7.4.4
7.4.5,,,18,,4,7.4.5
7.4.6,,,18,,4,7.4.6
7.5.1,,,61,1,3,7.5.1
7.5.2,,,44,1,3,7.5.2
7.5.3,,,24,,4,7.5.3
7.5.4,,,24,,4,7.5.4
7.5.5,,,23,,4,7.5.5
7.5.6,,,12,1,4,7.5.6
7.6.1,,,45,1,3,7.6.1
7.6.2,,,35,1,3,7.6.2
7.6.3,,,23,,4,7.6.3
7.6.4,,,17,,4,7.6.4
7.6.5,,,16,,4,7.6.5
7.6.6,,,14,,4,7.6.6
7.7.1,,,43,1,3,7.7.1
7.7.2,,,10,,4,7.7.2
7.7.3,,,13,,4,7.7.3
7.7.4,,,23,,4,7.7.4
7.7.5,,,15,,4,7.7.5
7.7.6,,,11,,4,7.7.6
7.8.1,,,35,1,3,7.8.1
7.8.2,,,12,,4,7.8.2
7.8.3,,,22,,4,7.8.3
7.8.4,,,9,,4,7.8.4
7.8.5,,,19,,4,7.8.5
7.8.6,,,9,1,4,7.8.6
7.9.1,,,46,1,3,7.9.1
7.9.2,,,22,,4,7.9.2
7.9.3,,,19,,4,7.9.3
7.9.4,,,20,,4,7.9.4
7.9.5,,,12,1,4,7.9.5
7.9.6,,,21,1,4,7.9.6
8.1.1,,,21,,4,8.1.1
8.1.2,,,21,,4,8.1.2
8.1.3,,,11,,4,8.1.3
8.1.4,,,22,,4,8.1.4
8.1.5,,,12,,4,8.1.5
8.1.6,,,18,,4,8.1.6
8.2.1,,,21,,4,8.2.1
8.2.2,,,17,,4,8.2.2
8.2.3,,,16,,4,8.2.3
8.2.4,,,23,,4,8.2.4
8.2.5,,,23,,4,8.2.5
8.2.6,,,17,1,4,8.2.6
8.3.1,,,16,,4,8.3.1
8.3.2,,,22,,4,8.3.2
8.3.3,,,17,,4,8.3.3
8.3.4,,,19,,4,8.3.4
8.3.5,,,24,1,4,8.3.5
8.3.6,,,17,1,4,8.3.6
8.4.1,,,20,,4,8.4.1
8.4.2,,,13,,4,8.4.2
8.4.3,,,11,,4,8.4.3
8.4.4,,,12,1,4,8.4.4
8.4.5,,,9,1,4,8.4.5
8.4.6,,,24,1,4,8.4.6
8.5.1,,,9,,4,8.5.1
8.5.2,,,11,,4,8.5.2
8.5.3,,,16,1,4,8.5.3
8.5.4,,,21,1,4,8.5.4
8.5.5,,,23,1,4,8.5.5
8.5.6,,,3,,5,8.5.6
8.6.1,,,12,,4,8.6.1
8.6.2,,,9,,4,8.6.2
8.6.3,,,19,1,4,8.6.3
8.6.4,,,11,1,4,8.6.4
8.6.5,,,15,1,4,8.6.5
8.6.6,,,24,1,4,8.6.6
8.7.1,,,16,,4,8.7.1
8.7.2,,,13,1,4,8.7.2
8.7.3,,,12,1,4,8.7.3
8.7.4,,,20,1,4,8.7.4
8.7.5,,,16,1,4,8.7.5
8.7.6,,,15,1,4,8.7.6
8.8.1,,,22,,4,8.8.1
8.8.2,,,11,1,4,8.8.2
8.8.3,,,20,1,4,8.8.3
8.8.4,,,20,1,4,8.8.4
8.8.5,,,23,1,4,8.8.5
8.8.6,,,5,,5,8.8.6
8.9.1,,,24,,4,8.9.1
8.9.2,,,10,1,4,8.9.2
8.9.3,,,22,1,4,8.9.3
8.9.4,,,18,1,4,8.9.4
8.9.5,,,2,,5,8.9.5
8.9.6,,,2,,5,8.9.6
9.1.1,,,20,,4,9.1.1
9.1.2,,,10,,4,9.1.2
9.1.3,,,10,,4,9.1.3
9.1.4,,,11,,4,9.1.4
9.1.5,,,23,,4,9.1.5
9.1.6,,,12,,4,9.1.6
9.2.1,,,22,,4,9.2.1
9.2.2,,,13,,4,9.2.2
9.2.3,,,15,,4,9.2.3
9.2.4,,,12,,4,9.2.4
9.2.5,,,13,,4,9.2.5
9.2.6,,,18,1,4,9.2.6
9.3.1,,,12,,4,9.3.1
9.3.2,,,21,,4,9.3.2
9.3.3,,,18,,4,9.3.3
9.3.4,,,21,,4,9.3.4
9.3.5,,,20,1,4,9.3.5
9.3.6,,,11,1,4,9.3.6
9.4.1,,,9,,4,9.4.1
9.4.2,,,18,,4,9.4.2
9.4.3,,,22,,4,9.4.3
9.4.4,,,23,1,4,9.4.4
9.4.5,,,17,1,4,9.4.5
9.4.6,,,24,1,4,9.4.6
9.5.1,,,14,,4,9.5.1
9.5.2,,,11,,4,9.5.2
9.5.3,,,17,1,4,9.5.3
9.5.4,,,23,1,4,9.5.4
9.5.5,,,17,1,4,9.5.5
9.5.6,,,2,,5,9.5.6
9.6.1,,,19,,4,9.6.1
9.6.2,,,17,,4,9.6.2
9.6.3,,,11,1,4,9.6.3
9.6.4,,,13,1,4,9.6.4
9.6.5,,,10,1,4,9.6.5
9.6.6,,,12,1,4,9.6.6
9.7.1,,,21,,4,9.7.1
9.7.2,,,18,1,4,9.7.2
9.7.3,,,20,1,4,9.7.3
9.7.4,,,19,1,4,9.7.4
9.7.5,,,12,1,4,9.7.5
9.7.6,,,18,1,4,9.7.6
9.8.1,,,15,,4,9.8.1
9.8.2,,,16,1,4,9.8.2
9.8.3,,,23,1,4,9.8.3
9.8.4,,,18,1,4,9.8.4
9.8.5,,,15,1,4,9.8.5
9.8.6,,,2,,5,9.8.6
9.9.1,,,21,,4,9.9.1
9.9.2,,,18,1,4,9.9.2
9.9.3,,,22,1,4,9.9.3
9.9.4,,,21,1,4,9.9.4
9.9.5,,,8,,5,9.9.5
9.9.6,,,5,,5,9.9.6
sp1.1,,,150,,1,sp1.1
sp1.2,,,167,,1,sp1.2
sp1.3,,,154,,1,sp1.3
sp1.4,,,105,,2,sp1.4
sp1.5,,,73,,2,sp1.5
sp1.6,,,105,,2,sp1.6
sp1.7,,,63,,3,sp1.7
sp1.8,,,65,,3,sp1.8
sp1.9,,,54,,3,sp1.9
sp2.1,,,156,,1,sp2.1
sp2.2,,,137,,1,sp2.2
sp2.3,,,145,,1,sp2.3
sp2.4,,,100,,2,sp2.4
sp2.5,,,97,,2,sp2.5
sp2.6,,,105,,2,sp2.6
sp2.7,,,37,,3,sp2.7
sp2.8,,,59,,3,sp2.8
sp2.9,,,44,,3,sp2.9
sp3.1,,,93,,2,sp3.1
sp3.2,,,101,,2,sp3.2
sp3.3,,,95,,2,sp3.3
sp3.4,,,52,,3,sp3.4
sp3.5,,,34,,3,sp3.5
sp3.6,,,49,,3,sp3.6
sp3.7,,,35,1,3,sp3.7
sp3.8,,,47,1,3,sp3.8
sp3.9,,,66,1,3,sp3.9
sp4.1,,,72,,2,sp4.1
sp4.2,,,99,,2,sp4.2
sp4.3,,,96,,2,sp4.3
sp4.4,,,28,,3,sp4.4
sp4.5,,,68,,3,sp4.5
sp4.6,,,67,,3,sp4.6
sp4.7,,,63,1,3,sp4.7
sp4.8,,,40,1,3,sp4.8
sp4.9,,,62,1,3,sp4.9
sp5.1,,,64,,3,sp5.1
sp5.2,,,50,,3,sp5.2
sp5.3,,,29,,3,sp5.3
sp5.4,,,68,1,3,sp5.4
sp5.5,,,53,1,3,sp5.5
sp5.6,,,39,1,3,sp5.6
sp5.7,,,20,,4,sp5.7
sp5.8,,,9,,4,sp5.8
sp5.9,,,24,,4,sp5.9
sp6.1,,,55,,3,sp6.1
sp6.2,,,66,,3,sp6.2
sp6.3,,,42,,3,sp6.3
sp6.4,,,66,1,3,sp6.4
sp6.5,,,30,1,3,sp6.5
sp6.6,,,62,1,3,sp6.6
sp6.7,,,21,,4,sp6.7
sp6.8,,,24,,4,sp6.8
sp6.9,,,13,,4,sp6.9
sp7.1,,,50,1,3,sp7.1
sp7.2,,,28,1,3,sp7.2
sp7.3,,,66,1,3,sp7.3
sp7.4,,,9,,4,sp7.4
sp7.5,,,13,,4,sp7.5
sp7.6,,,18,,4,sp7.6
sp7.7,,,24,1,4,sp7.7
sp7.8,,,19,1,4,sp7.8
sp7.9,,,14,1,4,sp7.9
sp8.1,,,10,,4,sp8.1
sp8.2,,,18,,4,sp8.2
sp8.3,,,16,,4,sp8.3
sp8.4,,,22,1,4,sp8.4
sp8.5,,,18,1,4,sp8.5
sp8.6,,,20,1,4,sp8.6
sp8.7,,,3,,5,sp8.7
sp8.8,,,4,,5,sp8.8
sp8.9,,,5,,5,sp8.9
sp9.1,,,13,,4,sp9.1
sp9.2,,,23,,4,sp9.2
sp9.3,,,20,,4,sp9.3
sp9.4,,,10,1,4,sp9.4
sp9.5,,,21,1,4,sp9.5
sp9.6,,,18,1,4,sp9.6
sp9.7,,,1,,5,sp9.7
sp9.8,,,3,,5,sp9.8
sp9.9,,,4,,5,sp9.9
